Min frequency : 0.05
Max frequency : 0.4
Nb of frequencies : 500

S0 ; A0 ; SH0
5.5031E0 ; 3.1786E0 ; 3.2557E0
5.5023E0 ; 3.1796E0 ; 3.2557E0
5.5016E0 ; 3.1807E0 ; 3.2557E0
5.5008E0 ; 3.1817E0 ; 3.2557E0
5.5E0 ; 3.1827E0 ; 3.2557E0
5.4992E0 ; 3.1837E0 ; 3.2557E0
5.4984E0 ; 3.1847E0 ; 3.2557E0
5.4976E0 ; 3.1857E0 ; 3.2557E0
5.4967E0 ; 3.1867E0 ; 3.2557E0
5.4959E0 ; 3.1877E0 ; 3.2557E0
5.4951E0 ; 3.1887E0 ; 3.2557E0
5.4943E0 ; 3.1897E0 ; 3.2557E0
5.4935E0 ; 3.1906E0 ; 3.2557E0
5.4927E0 ; 3.1916E0 ; 3.2557E0
5.4918E0 ; 3.1926E0 ; 3.2557E0
5.491E0 ; 3.1935E0 ; 3.2557E0
5.4902E0 ; 3.1944E0 ; 3.2557E0
5.4893E0 ; 3.1954E0 ; 3.2557E0
5.4885E0 ; 3.1963E0 ; 3.2557E0
5.4876E0 ; 3.1972E0 ; 3.2557E0
5.4868E0 ; 3.1981E0 ; 3.2557E0
5.4859E0 ; 3.199E0 ; 3.2557E0
5.4851E0 ; 3.1999E0 ; 3.2557E0
5.4842E0 ; 3.2008E0 ; 3.2557E0
5.4833E0 ; 3.2017E0 ; 3.2557E0
5.4825E0 ; 3.2026E0 ; 3.2557E0
5.4816E0 ; 3.2034E0 ; 3.2557E0
5.4807E0 ; 3.2043E0 ; 3.2557E0
5.4799E0 ; 3.2051E0 ; 3.2557E0
5.479E0 ; 3.206E0 ; 3.2557E0
5.4781E0 ; 3.2068E0 ; 3.2557E0
5.4772E0 ; 3.2077E0 ; 3.2557E0
5.4763E0 ; 3.2085E0 ; 3.2557E0
5.4754E0 ; 3.2093E0 ; 3.2557E0
5.4745E0 ; 3.2101E0 ; 3.2557E0
5.4736E0 ; 3.2109E0 ; 3.2557E0
5.4727E0 ; 3.2117E0 ; 3.2557E0
5.4718E0 ; 3.2125E0 ; 3.2557E0
5.4709E0 ; 3.2133E0 ; 3.2557E0
5.47E0 ; 3.2141E0 ; 3.2557E0
5.469E0 ; 3.2149E0 ; 3.2557E0
5.4681E0 ; 3.2157E0 ; 3.2557E0
5.4672E0 ; 3.2164E0 ; 3.2557E0
5.4663E0 ; 3.2172E0 ; 3.2557E0
5.4653E0 ; 3.218E0 ; 3.2557E0
5.4644E0 ; 3.2187E0 ; 3.2557E0
5.4635E0 ; 3.2195E0 ; 3.2557E0
5.4625E0 ; 3.2202E0 ; 3.2557E0
5.4616E0 ; 3.2209E0 ; 3.2557E0
5.4606E0 ; 3.2217E0 ; 3.2557E0
5.4596E0 ; 3.2224E0 ; 3.2557E0
5.4587E0 ; 3.2231E0 ; 3.2557E0
5.4577E0 ; 3.2238E0 ; 3.2557E0
5.4568E0 ; 3.2245E0 ; 3.2557E0
5.4558E0 ; 3.2252E0 ; 3.2557E0
5.4548E0 ; 3.2259E0 ; 3.2557E0
5.4538E0 ; 3.2266E0 ; 3.2557E0
5.4528E0 ; 3.2273E0 ; 3.2557E0
5.4519E0 ; 3.228E0 ; 3.2557E0
5.4509E0 ; 3.2286E0 ; 3.2557E0
5.4499E0 ; 3.2293E0 ; 3.2557E0
5.4489E0 ; 3.23E0 ; 3.2557E0
5.4479E0 ; 3.2306E0 ; 3.2557E0
5.4469E0 ; 3.2313E0 ; 3.2557E0
5.4458E0 ; 3.2319E0 ; 3.2557E0
5.4448E0 ; 3.2326E0 ; 3.2557E0
5.4438E0 ; 3.2332E0 ; 3.2557E0
5.4428E0 ; 3.2338E0 ; 3.2557E0
5.4418E0 ; 3.2345E0 ; 3.2557E0
5.4407E0 ; 3.2351E0 ; 3.2557E0
5.4397E0 ; 3.2357E0 ; 3.2557E0
5.4387E0 ; 3.2363E0 ; 3.2557E0
5.4376E0 ; 3.2369E0 ; 3.2557E0
5.4366E0 ; 3.2375E0 ; 3.2557E0
5.4355E0 ; 3.2381E0 ; 3.2557E0
5.4345E0 ; 3.2387E0 ; 3.2557E0
5.4334E0 ; 3.2393E0 ; 3.2557E0
5.4323E0 ; 3.2399E0 ; 3.2557E0
5.4313E0 ; 3.2405E0 ; 3.2557E0
5.4302E0 ; 3.241E0 ; 3.2557E0
5.4291E0 ; 3.2416E0 ; 3.2557E0
5.4281E0 ; 3.2422E0 ; 3.2557E0
5.427E0 ; 3.2427E0 ; 3.2557E0
5.4259E0 ; 3.2433E0 ; 3.2557E0
5.4248E0 ; 3.2438E0 ; 3.2557E0
5.4237E0 ; 3.2444E0 ; 3.2557E0
5.4226E0 ; 3.2449E0 ; 3.2557E0
5.4215E0 ; 3.2455E0 ; 3.2557E0
5.4204E0 ; 3.246E0 ; 3.2557E0
5.4193E0 ; 3.2465E0 ; 3.2557E0
5.4182E0 ; 3.2471E0 ; 3.2557E0
5.417E0 ; 3.2476E0 ; 3.2557E0
5.4159E0 ; 3.2481E0 ; 3.2557E0
5.4148E0 ; 3.2486E0 ; 3.2557E0
5.4136E0 ; 3.2491E0 ; 3.2557E0
5.4125E0 ; 3.2496E0 ; 3.2557E0
5.4114E0 ; 3.2501E0 ; 3.2557E0
5.4102E0 ; 3.2506E0 ; 3.2557E0
5.4091E0 ; 3.2511E0 ; 3.2557E0
5.4079E0 ; 3.2516E0 ; 3.2557E0
5.4067E0 ; 3.2521E0 ; 3.2557E0
5.4056E0 ; 3.2526E0 ; 3.2557E0
5.4044E0 ; 3.253E0 ; 3.2557E0
5.4032E0 ; 3.2535E0 ; 3.2557E0
5.4021E0 ; 3.254E0 ; 3.2557E0
5.4009E0 ; 3.2545E0 ; 3.2557E0
5.3997E0 ; 3.2549E0 ; 3.2557E0
5.3985E0 ; 3.2554E0 ; 3.2557E0
5.3973E0 ; 3.2558E0 ; 3.2557E0
5.3961E0 ; 3.2563E0 ; 3.2557E0
5.3949E0 ; 3.2567E0 ; 3.2557E0
5.3937E0 ; 3.2572E0 ; 3.2557E0
5.3925E0 ; 3.2576E0 ; 3.2557E0
5.3912E0 ; 3.258E0 ; 3.2557E0
5.39E0 ; 3.2585E0 ; 3.2557E0
5.3888E0 ; 3.2589E0 ; 3.2557E0
5.3876E0 ; 3.2593E0 ; 3.2557E0
5.3863E0 ; 3.2597E0 ; 3.2557E0
5.3851E0 ; 3.2601E0 ; 3.2557E0
5.3838E0 ; 3.2606E0 ; 3.2557E0
5.3826E0 ; 3.261E0 ; 3.2557E0
5.3813E0 ; 3.2614E0 ; 3.2557E0
5.3801E0 ; 3.2618E0 ; 3.2557E0
5.3788E0 ; 3.2622E0 ; 3.2557E0
5.3775E0 ; 3.2626E0 ; 3.2557E0
5.3762E0 ; 3.263E0 ; 3.2557E0
5.375E0 ; 3.2633E0 ; 3.2557E0
5.3737E0 ; 3.2637E0 ; 3.2557E0
5.3724E0 ; 3.2641E0 ; 3.2557E0
5.3711E0 ; 3.2645E0 ; 3.2557E0
